epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4684,0.27287,1.44678,1.02284,0.5592,0.43114,0.47155,0.44507,0.25406,1.54708,0.43757,0.000161905,0.000161905,0.067781
2,32.5801,0.1308,1.06905,0.90019,0.47105,0.76492,0.60141,0.55323,0.27022,1.17414,0.4398,0.000322066,0.000322066,0.0346078
3,51.0073,0.10306,1.04041,0.88729,0.45874,0.70562,0.57136,0.56514,0.16662,1.18083,0.38006,0.000475627,0.000475627,0.00142801
4,67.8635,0.10822,1.03461,0.89391,0.64828,0.46771,0.5844,0.57164,0.16692,1.16765,0.389,0.0004703,0.0004703,0.0004703
5,85.6629,0.11082,1.01208,0.89007,0.66195,0.57611,0.69186,0.67618,0.17734,1.03225,0.38678,0.0004604,0.0004604,0.0004604
6,105.248,0.0924,1.0016,0.89096,0.40128,0.69073,0.57449,0.56346,0.17787,1.28662,0.38247,0.0004505,0.0004505,0.0004505
7,122.271,0.09549,1.03254,0.89275,0.58228,0.59509,0.65578,0.64714,0.17891,1.03268,0.37263,0.0004406,0.0004406,0.0004406
8,138.489,0.09501,1.02929,0.8888,0.53714,0.61683,0.60041,0.59305,0.18907,1.11713,0.38704,0.0004307,0.0004307,0.0004307
9,154.175,0.0893,1.02195,0.87419,0.55653,0.71681,0.655,0.63371,0.18177,1.10116,0.37634,0.0004208,0.0004208,0.0004208
10,170.936,0.08936,0.9818,0.88594,0.61244,0.59756,0.68592,0.67502,0.13918,0.98332,0.35183,0.0004109,0.0004109,0.0004109
11,187.148,0.08589,0.98796,0.87719,0.6193,0.61365,0.70841,0.70075,0.15529,1.01283,0.35942,0.000401,0.000401,0.000401
12,205.506,0.08538,0.94403,0.88164,0.46425,0.81282,0.70183,0.68654,0.2066,1.00719,0.38596,0.0003911,0.0003911,0.0003911
13,222.835,0.08656,0.98041,0.87567,0.45071,0.7085,0.6333,0.61855,0.19396,1.07063,0.36987,0.0003812,0.0003812,0.0003812
14,239.076,0.07972,0.92643,0.87803,0.54272,0.64904,0.64017,0.63367,0.14728,0.98689,0.34448,0.0003713,0.0003713,0.0003713
15,255.743,0.08665,0.94621,0.8872,0.43689,0.72111,0.58432,0.57713,0.16144,1.16,0.36518,0.0003614,0.0003614,0.0003614
16,273.189,0.08414,0.92497,0.88169,0.45918,0.70992,0.60523,0.6,0.17872,1.08913,0.39047,0.0003515,0.0003515,0.0003515
17,289.642,0.08999,0.94836,0.88925,0.46437,0.74284,0.63593,0.62913,0.15918,1.03708,0.36098,0.0003416,0.0003416,0.0003416
18,306.143,0.07971,0.88982,0.87831,0.43421,0.81337,0.66759,0.66499,0.15096,1.04275,0.34925,0.0003317,0.0003317,0.0003317
19,322.222,0.08058,0.88023,0.89263,0.55705,0.62578,0.60956,0.59506,0.14504,1.07152,0.3398,0.0003218,0.0003218,0.0003218
20,338.808,0.08189,0.87979,0.88481,0.54842,0.61864,0.64878,0.64661,0.1367,0.98247,0.33738,0.0003119,0.0003119,0.0003119
21,354.573,0.07236,0.83638,0.87761,0.40678,0.81626,0.63454,0.63356,0.15464,1.00016,0.34541,0.000302,0.000302,0.000302
22,370.307,0.07071,0.86754,0.87868,0.62825,0.59642,0.69861,0.69773,0.13033,0.94331,0.32133,0.0002921,0.0002921,0.0002921
