epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2765,0.14085,0.65512,0.92197,0.643,0.46384,0.48988,0.44839,0.4912,4.11572,0.74384,0.000161905,0.000161905,0.067781
2,39.0461,0.14636,0.74689,0.92031,0.71193,0.55742,0.68976,0.68527,0.1981,2.04402,0.43553,0.000322066,0.000322066,0.0346078
3,58.7894,0.14558,0.75616,0.91317,0.46954,0.72364,0.71098,0.70719,0.19625,1.86036,0.44611,0.000475627,0.000475627,0.00142801
4,79.3152,0.14448,0.67258,0.93783,0.52198,0.66406,0.67193,0.66777,0.20028,1.63839,0.45813,0.0004703,0.0004703,0.0004703
5,97.9559,0.13913,0.66934,0.91397,0.54205,0.70753,0.67356,0.67256,0.20452,1.77762,0.44931,0.0004604,0.0004604,0.0004604
6,115.141,0.14025,0.66383,0.91358,0.5382,0.72086,0.66577,0.66347,0.19097,2.11591,0.43983,0.0004505,0.0004505,0.0004505
7,133.066,0.14405,0.60878,0.91913,0.55774,0.69838,0.66503,0.66246,0.20019,1.71471,0.44565,0.0004406,0.0004406,0.0004406
8,152.089,0.13442,0.621,0.91106,0.60898,0.6598,0.69307,0.69307,0.1877,1.58149,0.44552,0.0004307,0.0004307,0.0004307
9,170.343,0.12856,0.57178,0.91237,0.57978,0.63297,0.61474,0.60617,0.17392,1.82991,0.44215,0.0004208,0.0004208,0.0004208
10,188.824,0.13421,0.55225,0.91607,0.7232,0.60732,0.69788,0.68976,0.20484,1.5477,0.46253,0.0004109,0.0004109,0.0004109
11,205.952,0.11954,0.48752,0.91183,0.55451,0.65744,0.64502,0.64332,0.20949,1.84087,0.44931,0.000401,0.000401,0.000401
12,224.488,0.12333,0.52402,0.89972,0.53744,0.72485,0.64997,0.64484,0.19066,1.89669,0.43514,0.0003911,0.0003911,0.0003911
13,242.657,0.13414,0.47692,0.9113,0.69472,0.5947,0.63907,0.63072,0.20202,1.88255,0.43747,0.0003812,0.0003812,0.0003812
14,261.115,0.13069,0.47886,0.92229,0.53019,0.65252,0.619,0.61096,0.20171,2.30811,0.44323,0.0003713,0.0003713,0.0003713
15,278.423,0.13654,0.59415,0.91268,0.61909,0.70034,0.673,0.65958,0.24536,1.98803,0.47654,0.0003614,0.0003614,0.0003614
16,296.912,0.13076,0.53303,0.93019,0.58852,0.71313,0.6657,0.66119,0.20573,1.93442,0.44323,0.0003515,0.0003515,0.0003515
17,314.3,0.13199,0.49941,0.90983,0.60342,0.67767,0.69046,0.68778,0.18862,2.04631,0.43581,0.0003416,0.0003416,0.0003416
18,333.404,0.12299,0.49601,0.89408,0.52089,0.76346,0.64779,0.64486,0.19868,1.84272,0.44282,0.0003317,0.0003317,0.0003317
19,350.857,0.11745,0.43463,0.89748,0.51994,0.73935,0.64026,0.63737,0.16946,2.10034,0.41433,0.0003218,0.0003218,0.0003218
20,369.016,0.11911,0.44261,0.90394,0.55584,0.73392,0.67053,0.66324,0.19556,1.76967,0.42403,0.0003119,0.0003119,0.0003119
21,387.187,0.11277,0.39693,0.89605,0.63435,0.7251,0.67115,0.66977,0.16071,1.66086,0.39924,0.000302,0.000302,0.000302
22,405.242,0.11593,0.41201,0.9055,0.67054,0.69441,0.69934,0.69934,0.16134,1.51429,0.3917,0.0002921,0.0002921,0.0002921
23,423.955,0.10892,0.39568,0.88668,0.68449,0.57662,0.6596,0.65917,0.18822,1.75852,0.42135,0.0002822,0.0002822,0.0002822
24,441.393,0.10878,0.36845,0.90153,0.56036,0.68341,0.6446,0.64434,0.17734,2.06333,0.41201,0.0002723,0.0002723,0.0002723
