epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7341,0.48149,2.81329,1.10333,0.03753,0.49726,0.04392,0.02089,1.85442,61.7024,2.07015,0.000647619,0.000647619,0.0682667
2,32.651,0.33109,1.64107,0.99335,0.12516,0.74676,0.21361,0.13105,1.23566,24.177,1.87146,0.00128826,0.00128826,0.035574
3,50.0708,0.30856,1.514,0.96992,0.10035,0.47412,0.09148,0.02766,2.08206,17.6636,2.47452,0.00190251,0.00190251,0.00285489
4,65.7973,0.31823,1.48787,0.9854,0.11474,0.47525,0.15956,0.12305,0.93898,3.64898,1.17092,0.0018812,0.0018812,0.0018812
5,82.3314,0.30058,1.45112,0.96761,0.23893,0.27476,0.10513,0.05082,2.08761,4.27784,1.65319,0.0018416,0.0018416,0.0018416
6,98.3528,0.26759,1.43388,0.96015,0.19802,0.70862,0.34419,0.28893,0.57723,2.02332,0.72209,0.001802,0.001802,0.001802
7,117.046,0.25639,1.39604,0.96647,0.42443,0.56947,0.43035,0.32772,0.63884,1.85795,0.82698,0.0017624,0.0017624,0.0017624
8,135.3,0.24122,1.42757,0.94955,0.15973,0.69537,0.31431,0.26863,0.59623,2.02309,0.83375,0.0017228,0.0017228,0.0017228
9,151.653,0.2198,1.37859,0.92156,0.36732,0.68657,0.40351,0.35135,0.33952,1.94508,0.53816,0.0016832,0.0016832,0.0016832
10,170.372,0.20531,1.34261,0.92903,0.52771,0.47444,0.38297,0.35775,0.4347,1.62906,0.59717,0.0016436,0.0016436,0.0016436
11,188.274,0.20955,1.35505,0.92335,0.29402,0.68078,0.36611,0.33774,0.43083,1.67591,0.57968,0.001604,0.001604,0.001604
12,205.238,0.20753,1.3211,0.93441,0.46771,0.66414,0.53464,0.50373,0.32838,1.40867,0.49207,0.0015644,0.0015644,0.0015644
13,222.44,0.19211,1.30792,0.92069,0.38494,0.86791,0.5351,0.51848,0.26214,1.17132,0.45677,0.0015248,0.0015248,0.0015248
14,240.648,0.17344,1.29138,0.91396,0.34159,0.74722,0.4694,0.45344,0.30578,1.35349,0.50701,0.0014852,0.0014852,0.0014852
15,256.765,0.18992,1.30495,0.93057,0.35425,0.7963,0.49206,0.45516,0.32391,1.44471,0.51743,0.0014456,0.0014456,0.0014456
16,273.235,0.1726,1.28988,0.9142,0.34464,0.68333,0.4769,0.37321,0.54964,1.65144,0.63686,0.001406,0.001406,0.001406
17,290.041,0.17604,1.27431,0.9188,0.4858,0.56925,0.49284,0.46239,0.32442,1.40892,0.47001,0.0013664,0.0013664,0.0013664
