epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8182,0.40221,0.64925,1.65214,0.63037,0.4218,0.46442,0.40985,0.64772,2.94177,1.60152,0.000161905,0.000161905,0.067781
2,44.8906,0.27762,0.64072,1.16848,0.49465,0.76376,0.57778,0.52835,0.38664,1.73597,1.0591,0.000322066,0.000322066,0.0346078
3,66.6969,0.24766,0.62072,1.08334,0.59502,0.61231,0.64541,0.6138,0.34546,1.41522,0.90756,0.000475627,0.000475627,0.00142801
4,89.2978,0.22115,0.6173,1.05048,0.62843,0.75641,0.74418,0.71266,0.37012,1.15504,0.9444,0.0004703,0.0004703,0.0004703
5,111.306,0.19113,0.58546,1.00113,0.60816,0.74308,0.73842,0.71027,0.33341,1.07623,0.89816,0.0004604,0.0004604,0.0004604
6,132.514,0.18191,0.53634,0.98837,0.5674,0.68359,0.70296,0.66752,0.33019,1.31413,0.88275,0.0004505,0.0004505,0.0004505
7,152.296,0.16571,0.51486,0.96125,0.59993,0.62146,0.63649,0.62126,0.30514,1.26724,0.81932,0.0004406,0.0004406,0.0004406
8,172.523,0.15758,0.51051,0.95884,0.58076,0.64264,0.61924,0.60647,0.24818,1.28329,0.72334,0.0004307,0.0004307,0.0004307
9,193.532,0.15391,0.49536,0.95391,0.53756,0.76021,0.69542,0.67636,0.34012,1.28493,0.86176,0.0004208,0.0004208,0.0004208
10,213.567,0.15885,0.47993,0.97674,0.54319,0.71215,0.66021,0.64537,0.32397,1.19677,0.86204,0.0004109,0.0004109,0.0004109
11,233.567,0.14605,0.47222,0.95748,0.68884,0.5978,0.67765,0.64448,0.3634,1.13206,0.79248,0.000401,0.000401,0.000401
12,255.197,0.14341,0.46935,0.93704,0.54273,0.61009,0.61333,0.58387,0.36124,1.56785,0.78972,0.0003911,0.0003911,0.0003911
13,274.57,0.14558,0.44856,0.93906,0.59531,0.70898,0.67149,0.66064,0.27736,1.1612,0.74254,0.0003812,0.0003812,0.0003812
14,294.628,0.12972,0.43274,0.94661,0.58693,0.67812,0.68474,0.67553,0.25892,1.30528,0.72113,0.0003713,0.0003713,0.0003713
15,316.541,0.14039,0.43589,0.92859,0.64021,0.58413,0.67157,0.66313,0.28586,1.28939,0.75061,0.0003614,0.0003614,0.0003614
16,335.333,0.13329,0.39685,0.94265,0.49756,0.77793,0.66289,0.64043,0.31377,1.31322,0.784,0.0003515,0.0003515,0.0003515
17,355.675,0.13257,0.40816,0.91947,0.4835,0.7193,0.617,0.60623,0.3009,1.32871,0.75635,0.0003416,0.0003416,0.0003416
18,376.541,0.13306,0.40998,0.9267,0.52127,0.64589,0.64614,0.63209,0.30648,1.44182,0.77848,0.0003317,0.0003317,0.0003317
19,396.613,0.13173,0.38642,0.9244,0.72165,0.52237,0.67097,0.65117,0.31923,1.35158,0.79154,0.0003218,0.0003218,0.0003218
20,417.242,0.13109,0.35379,0.92287,0.49347,0.68683,0.6698,0.65479,0.29058,1.48097,0.76229,0.0003119,0.0003119,0.0003119
21,437.944,0.12105,0.32351,0.91724,0.59815,0.61041,0.64474,0.63823,0.26073,1.38085,0.73883,0.000302,0.000302,0.000302
22,456.581,0.12339,0.33812,0.93727,0.64716,0.71691,0.68289,0.67079,0.27444,1.26834,0.73558,0.0002921,0.0002921,0.0002921
23,476.988,0.11878,0.32872,0.90433,0.6336,0.6351,0.68619,0.67817,0.23319,1.36625,0.66146,0.0002822,0.0002822,0.0002822
24,498.149,0.11379,0.37042,0.92215,0.59189,0.56059,0.62575,0.62177,0.21065,1.56033,0.62076,0.0002723,0.0002723,0.0002723
25,518.154,0.11384,0.35113,0.90584,0.5463,0.68613,0.69154,0.67986,0.20535,1.19244,0.61178,0.0002624,0.0002624,0.0002624
26,538.921,0.10779,0.34315,0.91885,0.52359,0.726,0.64081,0.63783,0.20309,1.30539,0.60384,0.0002525,0.0002525,0.0002525
