epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6553,0.19563,0.95181,1.03861,0.26154,0.9375,0.36977,0.27788,0.95182,3.67515,1.87018,0.000161905,0.000161905,0.067781
2,57.2179,0.15249,0.90662,0.95711,0.47239,0.59521,0.57725,0.52686,0.48589,1.63229,1.13056,0.000322066,0.000322066,0.0346078
3,77.0777,0.12782,0.86775,0.9264,0.47557,0.59045,0.52477,0.49363,0.38286,1.97488,0.76789,0.000475627,0.000475627,0.00142801
4,97.2567,0.11682,0.88027,0.91257,0.50875,0.58336,0.6064,0.57932,0.39627,1.27362,0.72125,0.0004703,0.0004703,0.0004703
5,118.276,0.11233,0.86455,0.90051,0.50495,0.65649,0.65299,0.61502,0.32863,1.14684,0.65389,0.0004604,0.0004604,0.0004604
6,138.961,0.10365,0.85848,0.91215,0.50732,0.79646,0.62543,0.60125,0.30233,1.13992,0.6559,0.0004505,0.0004505,0.0004505
7,159.402,0.10587,0.86993,0.91159,0.45453,0.72721,0.61391,0.59868,0.31008,1.34123,0.66918,0.0004406,0.0004406,0.0004406
8,178.092,0.10525,0.88618,0.89944,0.54706,0.62744,0.60924,0.59328,0.19726,1.21154,0.50043,0.0004307,0.0004307,0.0004307
9,196.038,0.09785,0.88527,0.902,0.45628,0.78529,0.65085,0.6308,0.21133,1.18148,0.52689,0.0004208,0.0004208,0.0004208
10,215.793,0.09142,0.81612,0.89321,0.58084,0.6269,0.67132,0.66293,0.18522,1.01297,0.49159,0.0004109,0.0004109,0.0004109
11,237.496,0.09275,0.84936,0.89202,0.62829,0.66692,0.70237,0.67679,0.26801,1.03032,0.58771,0.000401,0.000401,0.000401
12,257.915,0.08649,0.79861,0.89096,0.61017,0.7254,0.71869,0.70059,0.2361,1.12613,0.56382,0.0003911,0.0003911,0.0003911
13,278.093,0.08844,0.8142,0.89283,0.67331,0.68733,0.71156,0.70457,0.177,0.99406,0.47818,0.0003812,0.0003812,0.0003812
14,299.311,0.08684,0.7905,0.89637,0.63581,0.65823,0.67101,0.65674,0.20621,1.03215,0.49652,0.0003713,0.0003713,0.0003713
15,317.654,0.08752,0.81237,0.90149,0.64719,0.56557,0.64463,0.6324,0.17764,1.0927,0.46906,0.0003614,0.0003614,0.0003614
16,336.623,0.08551,0.78686,0.89453,0.61554,0.58694,0.65607,0.64833,0.17217,1.19454,0.47831,0.0003515,0.0003515,0.0003515
17,354.033,0.08678,0.80216,0.89381,0.66446,0.69339,0.68108,0.67399,0.165,1.10699,0.45619,0.0003416,0.0003416,0.0003416
18,372.862,0.07843,0.75981,0.88706,0.53557,0.77652,0.63059,0.61607,0.23242,1.06704,0.56416,0.0003317,0.0003317,0.0003317
19,392.62,0.08588,0.74277,0.89255,0.46661,0.67685,0.59427,0.56977,0.21625,1.24181,0.54312,0.0003218,0.0003218,0.0003218
20,411.86,0.08454,0.75848,0.88757,0.55036,0.62992,0.65211,0.63472,0.20973,1.05658,0.52512,0.0003119,0.0003119,0.0003119
21,429.808,0.07425,0.70987,0.88747,0.58704,0.69682,0.67861,0.67198,0.18666,1.0321,0.49236,0.000302,0.000302,0.000302
22,447.714,0.07535,0.7306,0.88002,0.59273,0.62057,0.63921,0.63225,0.16278,1.15408,0.46217,0.0002921,0.0002921,0.0002921
23,467.204,0.074,0.77418,0.88529,0.65896,0.66813,0.73149,0.72271,0.14389,1.08296,0.43203,0.0002822,0.0002822,0.0002822
24,488.074,0.07034,0.75164,0.88205,0.51847,0.72108,0.63253,0.60677,0.1888,1.15325,0.50191,0.0002723,0.0002723,0.0002723
